student_id,course_name,name,scaled
373,2020年度数学[中2]A組,2119_中学_2年_数学_Benesse模試1回,0.9
291,2020年度数学[中2]A組,2118_中学_2年_数学_Benesse模試1回,0.45
293,2020年度数学[中2]A組,2117_中学_2年_数学_Benesse模試1回,0.58
295,2020年度数学[中2]A組,2116_中学_2年_数学_Benesse模試1回,0.78
298,2020年度数学[中2]A組,2115_中学_2年_数学_Benesse模試1回,0.83
377,2020年度数学[中2]A組,2114_中学_2年_数学_Benesse模試1回,0.67
342,2020年度数学[中2]A組,2113_中学_2年_数学_Benesse模試1回,0.81
345,2020年度数学[中2]A組,2112_中学_2年_数学_Benesse模試1回,0.64
347,2020年度数学[中2]A組,2111_中学_2年_数学_Benesse模試1回,0.85
304,2020年度数学[中2]A組,2110_中学_2年_数学_Benesse模試1回,0.69
348,2020年度数学[中2]A組,2109_中学_2年_数学_Benesse模試1回,0.88
350,2020年度数学[中2]A組,2108_中学_2年_数学_Benesse模試1回,0.75
351,2020年度数学[中2]A組,2107_中学_2年_数学_Benesse模試1回,0.73
354,2020年度数学[中2]A組,2106_中学_2年_数学_Benesse模試1回,0.86
387,2020年度数学[中2]A組,2105_中学_2年_数学_Benesse模試1回,0.9
312,2020年度数学[中2]A組,2104_中学_2年_数学_Benesse模試1回,0.65
357,2020年度数学[中2]A組,2103_中学_2年_数学_Benesse模試1回,0.82
314,2020年度数学[中2]A組,2102_中学_2年_数学_Benesse模試1回,0.88
392,2020年度数学[中2]A組,2101_中学_2年_数学_Benesse模試1回,0.78
318,2020年度数学[中2]A組,2100_中学_2年_数学_Benesse模試1回,0.76
397,2020年度数学[中2]A組,2099_中学_2年_数学_Benesse模試1回,0.77
399,2020年度数学[中2]A組,2098_中学_2年_数学_Benesse模試1回,0.81
319,2020年度数学[中2]A組,2097_中学_2年_数学_Benesse模試1回,0.88
320,2020年度数学[中2]A組,2096_中学_2年_数学_Benesse模試1回,0.64
363,2020年度数学[中2]A組,2095_中学_2年_数学_Benesse模試1回,0.73
400,2020年度数学[中2]A組,2094_中学_2年_数学_Benesse模試1回,0.83
322,2020年度数学[中2]A組,2093_中学_2年_数学_Benesse模試1回,0.83
403,2020年度数学[中2]A組,2092_中学_2年_数学_Benesse模試1回,0.8
325,2020年度数学[中2]B組,2091_中学_2年_数学_Benesse模試1回,0.7
365,2020年度数学[中2]B組,2090_中学_2年_数学_Benesse模試1回,0.71
366,2020年度数学[中2]B組,2089_中学_2年_数学_Benesse模試1回,0.27
368,2020年度数学[中2]B組,2088_中学_2年_数学_Benesse模試1回,0.66
332,2020年度数学[中2]B組,2087_中学_2年_数学_Benesse模試1回,0.88
371,2020年度数学[中2]B組,2086_中学_2年_数学_Benesse模試1回,0.78
338,2020年度数学[中2]B組,2085_中学_2年_数学_Benesse模試1回,0.64
374,2020年度数学[中2]B組,2084_中学_2年_数学_Benesse模試1回,0.85
339,2020年度数学[中2]B組,2083_中学_2年_数学_Benesse模試1回,0.9
340,2020年度数学[中2]B組,2082_中学_2年_数学_Benesse模試1回,0.78
296,2020年度数学[中2]B組,2081_中学_2年_数学_Benesse模試1回,0.9
300,2020年度数学[中2]B組,2080_中学_2年_数学_Benesse模試1回,0.78
380,2020年度数学[中2]B組,2079_中学_2年_数学_Benesse模試1回,0.93
349,2020年度数学[中2]B組,2078_中学_2年_数学_Benesse模試1回,0.71
385,2020年度数学[中2]B組,2077_中学_2年_数学_Benesse模試1回,0.88
305,2020年度数学[中2]B組,2076_中学_2年_数学_Benesse模試1回,0.5
352,2020年度数学[中2]B組,2075_中学_2年_数学_Benesse模試1回,0.88
306,2020年度数学[中2]B組,2074_中学_2年_数学_Benesse模試1回,0.79
355,2020年度数学[中2]B組,2073_中学_2年_数学_Benesse模試1回,0.79
309,2020年度数学[中2]B組,2072_中学_2年_数学_Benesse模試1回,0.83
310,2020年度数学[中2]B組,2071_中学_2年_数学_Benesse模試1回,0.59
389,2020年度数学[中2]B組,2070_中学_2年_数学_Benesse模試1回,0.83
390,2020年度数学[中2]B組,2069_中学_2年_数学_Benesse模試1回,0.88
315,2020年度数学[中2]B組,2068_中学_2年_数学_Benesse模試1回,0.78
393,2020年度数学[中2]B組,2067_中学_2年_数学_Benesse模試1回,0.89
317,2020年度数学[中2]B組,2066_中学_2年_数学_Benesse模試1回,0.85
358,2020年度数学[中2]B組,2065_中学_2年_数学_Benesse模試1回,0.67
359,2020年度数学[中2]B組,2064_中学_2年_数学_Benesse模試1回,0.76
395,2020年度数学[中2]B組,2063_中学_2年_数学_Benesse模試1回,0.83
360,2020年度数学[中2]B組,2062_中学_2年_数学_Benesse模試1回,0.83
361,2020年度数学[中2]B組,2061_中学_2年_数学_Benesse模試1回,0.88
396,2020年度数学[中2]B組,2060_中学_2年_数学_Benesse模試1回,0.69
398,2020年度数学[中2]B組,2059_中学_2年_数学_Benesse模試1回,0.64
321,2020年度数学[中2]B組,2058_中学_2年_数学_Benesse模試1回,0.91
324,2020年度数学[中2]B組,2057_中学_2年_数学_Benesse模試1回,0.7
285,2020年度数学[中2]C組,2056_中学_2年_数学_Benesse模試1回,0.87
367,2020年度数学[中2]C組,2055_中学_2年_数学_Benesse模試1回,0.89
327,2020年度数学[中2]C組,2054_中学_2年_数学_Benesse模試1回,0.88
328,2020年度数学[中2]C組,2053_中学_2年_数学_Benesse模試1回,0.86
329,2020年度数学[中2]C組,2052_中学_2年_数学_Benesse模試1回,0.65
331,2020年度数学[中2]C組,2051_中学_2年_数学_Benesse模試1回,0.39
287,2020年度数学[中2]C組,2050_中学_2年_数学_Benesse模試1回,0.71
334,2020年度数学[中2]C組,2049_中学_2年_数学_Benesse模試1回,0.88
335,2020年度数学[中2]C組,2048_中学_2年_数学_Benesse模試1回,0.66
288,2020年度数学[中2]C組,2047_中学_2年_数学_Benesse模試1回,0.81
375,2020年度数学[中2]C組,2046_中学_2年_数学_Benesse模試1回,0.81
290,2020年度数学[中2]C組,2045_中学_2年_数学_Benesse模試1回,0.58
297,2020年度数学[中2]C組,2044_中学_2年_数学_Benesse模試1回,0.78
299,2020年度数学[中2]C組,2043_中学_2年_数学_Benesse模試1回,0.83
343,2020年度数学[中2]C組,2042_中学_2年_数学_Benesse模試1回,0.64
302,2020年度数学[中2]C組,2041_中学_2年_数学_Benesse模試1回,0.46
378,2020年度数学[中2]C組,2040_中学_2年_数学_Benesse模試1回,0.88
346,2020年度数学[中2]C組,2039_中学_2年_数学_Benesse模試1回,0.88
381,2020年度数学[中2]C組,2038_中学_2年_数学_Benesse模試1回,0.93
382,2020年度数学[中2]C組,2037_中学_2年_数学_Benesse模試1回,0.83
383,2020年度数学[中2]C組,2036_中学_2年_数学_Benesse模試1回,0.81
384,2020年度数学[中2]C組,2035_中学_2年_数学_Benesse模試1回,0.64
353,2020年度数学[中2]C組,2034_中学_2年_数学_Benesse模試1回,0.78
386,2020年度数学[中2]C組,2033_中学_2年_数学_Benesse模試1回,0.66
307,2020年度数学[中2]C組,2032_中学_2年_数学_Benesse模試1回,0.7
388,2020年度数学[中2]C組,2031_中学_2年_数学_Benesse模試1回,0.63
308,2020年度数学[中2]C組,2030_中学_2年_数学_Benesse模試1回,0.78
