student_id,scaled,course_name,name,exam_round,year,grade,raw_score,subject,student_no,time_label
2259,0.7,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,70.0,数学,,2022年度 中1 第2回
2260,0.81,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,81.0,数学,,2022年度 中1 第2回
2261,0.69,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,69.0,数学,,2022年度 中1 第2回
2224,,,,1,2023,中2,80.0,数学,2530040.0,2023年度 中2 第1回
2228,,,,1,2023,中2,87.0,数学,2530139.0,2023年度 中2 第1回
2188,,,,1,2023,中2,73.0,数学,2530244.0,2023年度 中2 第1回
2191,,,,1,2023,中2,80.0,数学,2530279.0,2023年度 中2 第1回
2233,,,,1,2023,中2,97.0,数学,2530350.0,2023年度 中2 第1回
2201,,,,1,2023,中2,85.0,数学,2530490.0,2023年度 中2 第1回
2203,,,,1,2023,中2,83.0,数学,2530520.0,2023年度 中2 第1回
2204,,,,1,2023,中2,100.0,数学,2530554.0,2023年度 中2 第1回
2205,,,,1,2023,中2,85.0,数学,2530562.0,2023年度 中2 第1回
2206,,,,1,2023,中2,90.0,数学,2530589.0,2023年度 中2 第1回
2208,,,,1,2023,中2,87.0,数学,2530600.0,2023年度 中2 第1回
2239,,,,1,2023,中2,69.0,数学,2530619.0,2023年度 中2 第1回
2240,,,,1,2023,中2,67.0,数学,2530635.0,2023年度 中2 第1回
2241,,,,1,2023,中2,53.0,数学,2530643.0,2023年度 中2 第1回
2210,,,,1,2023,中2,65.0,数学,2530759.0,2023年度 中2 第1回
2243,,,,1,2023,中2,95.0,数学,2530724.0,2023年度 中2 第1回
2212,,,,1,2023,中2,84.0,数学,2530767.0,2023年度 中2 第1回
2245,,,,1,2023,中2,69.0,数学,2530783.0,2023年度 中2 第1回
2246,,,,1,2023,中2,65.0,数学,2530805.0,2023年度 中2 第1回
2251,,,,1,2023,中2,90.0,数学,2530902.0,2023年度 中2 第1回
2252,,,,1,2023,中2,61.0,数学,2530910.0,2023年度 中2 第1回
2216,,,,1,2023,中2,77.0,数学,2530929.0,2023年度 中2 第1回
2217,,,,1,2023,中2,95.0,数学,2530988.0,2023年度 中2 第1回
2218,,,,1,2023,中2,78.0,数学,2531011.0,2023年度 中2 第1回
2261,,,,1,2023,中2,69.0,数学,2531194.0,2023年度 中2 第1回
2223,,,,1,2023,中2,76.0,数学,2530015.0,2023年度 中2 第1回
2184,,,,1,2023,中2,71.0,数学,2530058.0,2023年度 中2 第1回
2226,,,,1,2023,中2,85.0,数学,2530090.0,2023年度 中2 第1回
2229,,,,1,2023,中2,86.0,数学,2530147.0,2023年度 中2 第1回
2230,,,,1,2023,中2,93.0,数学,2530163.0,2023年度 中2 第1回
2186,,,,1,2023,中2,85.0,数学,2530180.0,2023年度 中2 第1回
2189,,,,1,2023,中2,85.0,数学,2530236.0,2023年度 中2 第1回
2190,,,,1,2023,中2,85.0,数学,2530252.0,2023年度 中2 第1回
2194,,,,1,2023,中2,97.0,数学,2530325.0,2023年度 中2 第1回
2195,,,,1,2023,中2,65.0,数学,2530341.0,2023年度 中2 第1回
2198,,,,1,2023,中2,91.0,数学,2530430.0,2023年度 中2 第1回
2235,,,,1,2023,中2,76.0,数学,2530449.0,2023年度 中2 第1回
2199,,,,1,2023,中2,64.0,数学,2530465.0,2023年度 中2 第1回
2200,,,,1,2023,中2,79.0,数学,2530473.0,2023年度 中2 第1回
2237,,,,1,2023,中2,73.0,数学,2530538.0,2023年度 中2 第1回
2238,,,,1,2023,中2,59.0,数学,2530546.0,2023年度 中2 第1回
2207,,,,1,2023,中2,67.0,数学,2530597.0,2023年度 中2 第1回
2214,,,,1,2023,中2,83.0,数学,2530830.0,2023年度 中2 第1回
2247,,,,1,2023,中2,86.0,数学,2530848.0,2023年度 中2 第1回
2248,,,,1,2023,中2,89.0,数学,2530856.0,2023年度 中2 第1回
2215,,,,1,2023,中2,85.0,数学,2530880.0,2023年度 中2 第1回
2254,,,,1,2023,中2,97.0,数学,2530996.0,2023年度 中2 第1回
2256,,,,1,2023,中2,93.0,数学,2531054.0,2023年度 中2 第1回
2220,,,,1,2023,中2,70.0,数学,2531062.0,2023年度 中2 第1回
2221,,,,1,2023,中2,90.0,数学,2531070.0,2023年度 中2 第1回
2258,,,,1,2023,中2,86.0,数学,2531127.0,2023年度 中2 第1回
2183,,,,1,2023,中2,97.0,数学,2530031.0,2023年度 中2 第1回
2225,,,,1,2023,中2,58.0,数学,2530082.0,2023年度 中2 第1回
2227,,,,1,2023,中2,70.0,数学,2530104.0,2023年度 中2 第1回
2185,,,,1,2023,中2,97.0,数学,2530120.0,2023年度 中2 第1回
2231,,,,1,2023,中2,70.0,数学,2530171.0,2023年度 中2 第1回
2232,,,,1,2023,中2,97.0,数学,2530201.0,2023年度 中2 第1回
2187,,,,1,2023,中2,73.0,数学,2530210.0,2023年度 中2 第1回
2192,,,,1,2023,中2,67.0,数学,2530295.0,2023年度 中2 第1回
2193,,,,1,2023,中2,90.0,数学,2530309.0,2023年度 中2 第1回
2196,,,,1,2023,中2,52.0,数学,2530368.0,2023年度 中2 第1回
2197,,,,1,2023,中2,100.0,数学,2530406.0,2023年度 中2 第1回
2234,,,,1,2023,中2,81.0,数学,2530414.0,2023年度 中2 第1回
2236,,,,1,2023,中2,79.0,数学,2530481.0,2023年度 中2 第1回
2202,,,,1,2023,中2,85.0,数学,2530511.0,2023年度 中2 第1回
2209,,,,1,2023,中2,73.0,数学,2530627.0,2023年度 中2 第1回
2242,,,,1,2023,中2,71.0,数学,2530694.0,2023年度 中2 第1回
2211,,,,1,2023,中2,75.0,数学,2530716.0,2023年度 中2 第1回
2244,,,,1,2023,中2,92.0,数学,2530740.0,2023年度 中2 第1回
2213,,,,1,2023,中2,53.0,数学,2530775.0,2023年度 中2 第1回
2249,,,,1,2023,中2,97.0,数学,2530864.0,2023年度 中2 第1回
2253,,,,1,2023,中2,70.0,数学,2530945.0,2023年度 中2 第1回
