student_no,raw_score,exam_round,year,grade,subject,student_id,scaled,course_name,name,time_label
,68.0,1,2022,中2,,1707,0.68,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,71.0,1,2022,中2,,1709,0.71,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,71.0,1,2022,中2,,1712,0.71,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,76.0,1,2022,中2,,1713,0.76,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,60.0,1,2022,中2,,1714,0.6,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,81.0,1,2022,中2,,1719,0.81,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,70.0,1,2022,中2,,1720,0.7,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,79.0,1,2022,中2,,1721,0.79,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,87.0,1,2022,中2,,1724,0.87,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,86.0,1,2022,中2,,1725,0.86,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,60.0,1,2022,中2,,1727,0.6,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,63.0,1,2022,中2,,1733,0.63,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,80.0,1,2022,中2,,1738,0.8,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,84.0,1,2022,中2,,1743,0.84,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,67.0,1,2022,中2,,1744,0.67,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,71.0,1,2022,中2,,1746,0.71,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
,71.0,1,2022,中2,,1747,0.71,2022年度2年C組数学[中学],Benesse模試1回,2022年度 中2 第1回
